LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION,USERID,PHONEID,TIMESTAMP,visible_ap_count,max_rssi,avg_rssi,min_rssi,signal_quality,is_weak_rssi,is_few_ap,is_anomaly,risk_level,evidence
-7541.264299999922,4864920.7782000005,2,1,106,2,2,23,1371713733,17,-53.0,-77.6470588235294,-95.0,good,False,False,False,low,
-7536.621199999005,4864934.225199997,2,1,106,2,2,23,1371713691,16,-46.0,-76.625,-96.0,good,False,False,False,low,
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371714095,15,-61.0,-82.93333333333334,-98.0,good,False,False,False,low,
-7524.570399999618,4864934.093000002,2,1,102,2,2,23,1371713807,16,-55.0,-77.5625,-92.0,good,False,False,False,low,
-7632.143599998206,4864982.217100002,0,0,122,2,11,13,1369909710,0,,,,none,False,True,True,medium,"visible_ap_count=0 (AP数不足,阈值 3)"
-7533.89620000124,4864939.258299999,2,1,105,2,2,23,1371713841,15,-55.0,-79.86666666666666,-98.0,good,False,False,False,low,
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371713883,17,-65.0,-84.17647058823529,-97.0,good,False,False,False,low,
-7527.451099999249,4864929.146399997,2,1,101,2,2,23,1371713775,16,-62.0,-79.9375,-96.0,good,False,False,False,low,
-7559.497299998999,4864887.650399998,2,1,112,2,2,23,1371714307,17,-46.0,-69.76470588235294,-96.0,good,False,False,False,low,
-7510.437173217535,4864949.251416706,2,1,103,1,2,23,1371714128,11,-69.0,-87.36363636363636,-95.0,medium,False,False,False,low,
-7528.816401548684,4864959.430612221,2,1,104,1,2,23,1371714200,17,-80.0,-88.52941176470588,-98.0,medium,False,False,False,low,
-7523.628199998289,4864951.958300002,2,1,104,2,2,23,1371714166,17,-53.0,-79.58823529411765,-96.0,good,False,False,False,low,
-7571.093400001526,4864871.7184000015,2,1,110,2,2,23,1371714393,18,-52.0,-76.27777777777777,-92.0,good,False,False,False,low,
-7559.78200000152,4864871.373499997,2,1,108,2,2,23,1371714467,18,-49.0,-76.44444444444444,-95.0,good,False,False,False,low,
-7562.186200000346,4864866.785099998,2,1,109,2,2,23,1371714433,17,-55.0,-79.6470588235294,-94.0,good,False,False,False,low,
-7564.196299999952,4864887.1932,2,1,111,2,2,23,1371714355,17,-46.0,-77.58823529411765,-95.0,good,False,False,False,low,
-7555.132300000638,4864885.251500003,2,1,107,2,2,23,1371714509,15,-49.0,-70.8,-96.0,good,False,False,False,low,
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714730,12,-92.0,-94.91666666666667,-97.0,poor,True,False,True,medium,"max_rssi=-92 dBm (弱信号,阈值 -85 dBm)"
-7521.867186445743,4864889.477093995,2,1,29,1,2,23,1371714802,8,-89.0,-92.625,-96.0,poor,True,False,True,medium,"max_rssi=-89 dBm (弱信号,阈值 -85 dBm)"
-7537.339899998158,4864895.785400003,2,1,117,2,2,23,1371714556,22,-75.0,-88.68181818181819,-97.0,medium,False,False,False,low,
-7526.710926756263,4864892.801808476,2,1,15,1,2,23,1371714772,12,-87.0,-92.33333333333333,-96.0,poor,True,False,True,medium,"max_rssi=-87 dBm (弱信号,阈值 -85 dBm)"
-7516.088799998164,4864889.878200002,2,1,16,2,2,23,1371714919,7,-77.0,-88.14285714285714,-96.0,medium,False,False,False,low,
-7512.604163631797,4864884.949543998,2,1,16,1,2,23,1371714946,10,-74.0,-86.5,-96.0,medium,False,False,False,low,
-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714879,12,-85.0,-93.08333333333333,-96.0,medium,False,False,False,low,
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714847,7,-82.0,-88.42857142857143,-97.0,medium,False,False,False,low,
-7502.449700001627,4864884.176100001,2,1,22,2,2,23,1371714992,10,-65.0,-81.3,-90.0,good,False,False,False,low,
-7489.177499998361,4864899.944899999,2,1,10,2,2,23,1371715041,17,-61.0,-80.41176470588235,-96.0,good,False,False,False,low,
-7482.456176027656,4864901.429579936,2,1,10,1,2,23,1371715082,11,-67.0,-81.54545454545455,-92.0,medium,False,False,False,low,
-7491.030633945018,4864865.38593483,2,1,2,1,2,23,1371715259,14,-67.0,-85.78571428571429,-96.0,medium,False,False,False,low,
-7501.221900001168,4864863.072899997,2,1,2,2,2,23,1371715227,13,-52.0,-74.07692307692308,-97.0,good,False,False,False,low,
-7480.124099999666,4864894.930600002,2,1,10,2,2,23,1371715133,11,-60.0,-78.27272727272727,-92.0,good,False,False,False,low,
-7506.731899999082,4864850.684,2,1,4,2,2,23,1371715373,17,-59.0,-85.47058823529412,-98.0,good,False,False,False,low,
-7502.826900001615,4864860.174599998,2,1,3,2,2,23,1371715304,15,-53.0,-81.4,-95.0,good,False,False,False,low,
-7511.736699998379,4864841.647200003,2,1,5,2,2,23,1371715416,22,-68.0,-85.4090909090909,-96.0,medium,False,False,False,low,
-7516.474500000477,4864844.597199999,2,1,6,2,2,23,1371715451,19,-69.0,-83.15789473684211,-97.0,medium,False,False,False,low,
-7504.881400000304,4864865.5295,2,1,9,2,2,23,1371715559,14,-47.0,-77.0,-96.0,good,False,False,False,low,
-7474.652600001544,4864865.952500001,2,1,27,2,2,23,1371715774,11,-81.0,-92.45454545454545,-97.0,medium,False,False,False,low,
-7506.529300000519,4864862.554300003,2,1,8,2,2,23,1371715528,13,-56.0,-78.84615384615384,-96.0,good,False,False,False,low,
-7511.5214999988675,4864853.5402000025,2,1,7,2,2,23,1371715490,13,-61.0,-79.92307692307692,-95.0,good,False,False,False,low,
