BUILDINGID,FLOOR,total_points,avg_max_rssi,avg_visible_ap,weak_points,avg_rssi,weak_ratio
0,0,1059,-56.0,13.4,1,-76.8,0.1
0,1,1356,-54.5,16.4,0,-75.2,0.0
0,2,1443,-55.0,17.8,0,-76.2,0.0
0,3,1391,-52.8,15.2,0,-75.9,0.0
1,0,1368,-59.3,17.1,25,-74.6,1.8
1,1,1484,-61.4,18.3,2,-79.4,0.1
1,2,1396,-62.3,18.7,51,-81.7,3.7
1,3,948,-66.3,10.2,201,-81.4,21.2
2,0,1942,-58.5,16.4,50,-80.2,2.6
2,1,2162,-57.2,21.6,3,-78.7,0.1
2,2,1577,-58.4,22.1,17,-80.9,1.1
2,3,2709,-53.7,19.7,28,-81.0,1.0
2,4,1102,-48.5,20.6,0,-78.2,0.0
