LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION,USERID,PHONEID,TIMESTAMP,visible_ap_count,max_rssi,avg_rssi,min_rssi,signal_quality,is_weak_rssi,is_few_ap,is_anomaly,risk_level,evidence
-7632.143599998206,4864982.217100002,0,0,122,2,11,13,1369909710,0,,,,none,False,True,True,medium,"visible_ap_count=0 (AP数不足,阈值 3)"
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714730,12,-92.0,-94.91666666666667,-97.0,poor,True,False,True,medium,"max_rssi=-92 dBm (弱信号,阈值 -85 dBm)"
-7521.867186445743,4864889.477093995,2,1,29,1,2,23,1371714802,8,-89.0,-92.625,-96.0,poor,True,False,True,medium,"max_rssi=-89 dBm (弱信号,阈值 -85 dBm)"
-7526.710926756263,4864892.801808476,2,1,15,1,2,23,1371714772,12,-87.0,-92.33333333333333,-96.0,poor,True,False,True,medium,"max_rssi=-87 dBm (弱信号,阈值 -85 dBm)"
-7469.739100001752,4864864.291500002,2,1,18,2,2,23,1371715871,16,-91.0,-94.125,-97.0,poor,True,False,True,medium,"max_rssi=-91 dBm (弱信号,阈值 -85 dBm)"
-7366.751436967403,4864837.214649305,2,2,121,1,11,13,1371724142,0,,,,none,False,True,True,medium,"visible_ap_count=0 (AP数不足,阈值 3)"
-7521.867186445743,4864889.477093995,2,1,29,1,2,23,1371714787,18,-86.0,-92.16666666666667,-96.0,poor,True,False,True,medium,"max_rssi=-86 dBm (弱信号,阈值 -85 dBm)"
-7517.9125519655645,4864887.2867276445,2,1,28,1,2,23,1371714817,11,-89.0,-93.18181818181819,-97.0,poor,True,False,True,medium,"max_rssi=-89 dBm (弱信号,阈值 -85 dBm)"
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714834,7,-86.0,-90.57142857142857,-95.0,poor,True,False,True,medium,"max_rssi=-86 dBm (弱信号,阈值 -85 dBm)"
-7521.867186445743,4864889.477093995,2,1,29,1,2,23,1371714792,11,-88.0,-92.36363636363636,-96.0,poor,True,False,True,medium,"max_rssi=-88 dBm (弱信号,阈值 -85 dBm)"
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714717,13,-90.0,-93.3076923076923,-96.0,poor,True,False,True,medium,"max_rssi=-90 dBm (弱信号,阈值 -85 dBm)"
-7526.710926756263,4864892.801808476,2,1,15,1,2,23,1371714750,9,-88.0,-92.22222222222223,-96.0,poor,True,False,True,medium,"max_rssi=-88 dBm (弱信号,阈值 -85 dBm)"
-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714868,13,-89.0,-94.46153846153847,-97.0,poor,True,False,True,medium,"max_rssi=-89 dBm (弱信号,阈值 -85 dBm)"
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714728,12,-92.0,-94.16666666666667,-97.0,poor,True,False,True,medium,"max_rssi=-92 dBm (弱信号,阈值 -85 dBm)"
-7521.867186445743,4864889.477093995,2,1,29,1,2,23,1371714790,7,-91.0,-92.57142857142857,-96.0,poor,True,False,True,medium,"max_rssi=-91 dBm (弱信号,阈值 -85 dBm)"
-7526.710926756263,4864892.801808476,2,1,15,1,2,23,1371714750,7,-88.0,-91.85714285714286,-96.0,poor,True,False,True,medium,"max_rssi=-88 dBm (弱信号,阈值 -85 dBm)"
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714838,8,-87.0,-91.625,-95.0,poor,True,False,True,medium,"max_rssi=-87 dBm (弱信号,阈值 -85 dBm)"
-7469.739100001752,4864864.291500002,2,1,18,2,2,23,1371715867,19,-91.0,-94.36842105263158,-98.0,poor,True,False,True,medium,"max_rssi=-91 dBm (弱信号,阈值 -85 dBm)"
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714723,10,-90.0,-93.3,-97.0,poor,True,False,True,medium,"max_rssi=-90 dBm (弱信号,阈值 -85 dBm)"
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714650,6,-92.0,-94.33333333333333,-97.0,poor,True,False,True,medium,"max_rssi=-92 dBm (弱信号,阈值 -85 dBm)"
-7521.867186445743,4864889.477093995,2,1,29,1,2,23,1371714792,9,-90.0,-93.33333333333333,-95.0,poor,True,False,True,medium,"max_rssi=-90 dBm (弱信号,阈值 -85 dBm)"
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714839,9,-88.0,-92.55555555555556,-96.0,poor,True,False,True,medium,"max_rssi=-88 dBm (弱信号,阈值 -85 dBm)"
-7526.710926756263,4864892.801808476,2,1,15,1,2,23,1371714752,13,-88.0,-93.23076923076923,-98.0,poor,True,False,True,medium,"max_rssi=-88 dBm (弱信号,阈值 -85 dBm)"
-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714870,11,-86.0,-92.9090909090909,-98.0,poor,True,False,True,medium,"max_rssi=-86 dBm (弱信号,阈值 -85 dBm)"
-7474.652600001544,4864865.952500001,2,1,27,2,2,23,1371715765,11,-86.0,-93.36363636363636,-97.0,poor,True,False,True,medium,"max_rssi=-86 dBm (弱信号,阈值 -85 dBm)"
-7469.739100001752,4864864.291500002,2,1,18,2,2,23,1371715870,16,-90.0,-94.0625,-99.0,poor,True,False,True,medium,"max_rssi=-90 dBm (弱信号,阈值 -85 dBm)"
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714651,6,-90.0,-93.5,-97.0,poor,True,False,True,medium,"max_rssi=-90 dBm (弱信号,阈值 -85 dBm)"
-7521.867186445743,4864889.477093995,2,1,29,1,2,23,1371714792,11,-89.0,-92.81818181818181,-95.0,poor,True,False,True,medium,"max_rssi=-89 dBm (弱信号,阈值 -85 dBm)"
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714722,11,-90.0,-94.36363636363636,-97.0,poor,True,False,True,medium,"max_rssi=-90 dBm (弱信号,阈值 -85 dBm)"
-7526.710926756263,4864892.801808476,2,1,15,1,2,23,1371714753,13,-86.0,-93.38461538461539,-99.0,poor,True,False,True,medium,"max_rssi=-86 dBm (弱信号,阈值 -85 dBm)"
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714840,8,-87.0,-92.5,-97.0,poor,True,False,True,medium,"max_rssi=-87 dBm (弱信号,阈值 -85 dBm)"
-7469.739100001752,4864864.291500002,2,1,18,2,2,23,1371715868,13,-89.0,-92.6923076923077,-99.0,poor,True,False,True,medium,"max_rssi=-89 dBm (弱信号,阈值 -85 dBm)"
-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715828,20,-87.0,-93.15,-97.0,poor,True,False,True,medium,"max_rssi=-87 dBm (弱信号,阈值 -85 dBm)"
-7526.710926756263,4864892.801808476,2,1,15,1,2,23,1371714754,11,-88.0,-94.0,-99.0,poor,True,False,True,medium,"max_rssi=-88 dBm (弱信号,阈值 -85 dBm)"
-7521.867186445743,4864889.477093995,2,1,29,1,2,23,1371714793,8,-88.0,-91.875,-94.0,poor,True,False,True,medium,"max_rssi=-88 dBm (弱信号,阈值 -85 dBm)"
-7474.652600001544,4864865.952500001,2,1,27,2,2,23,1371715768,10,-86.0,-93.3,-98.0,poor,True,False,True,medium,"max_rssi=-86 dBm (弱信号,阈值 -85 dBm)"
-7469.739100001752,4864864.291500002,2,1,18,2,2,23,1371715868,13,-90.0,-93.3076923076923,-97.0,poor,True,False,True,medium,"max_rssi=-90 dBm (弱信号,阈值 -85 dBm)"
-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715830,18,-86.0,-92.66666666666667,-97.0,poor,True,False,True,medium,"max_rssi=-86 dBm (弱信号,阈值 -85 dBm)"
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714725,8,-90.0,-92.75,-97.0,poor,True,False,True,medium,"max_rssi=-90 dBm (弱信号,阈值 -85 dBm)"
-7521.867186445743,4864889.477093995,2,1,29,1,2,23,1371714796,8,-89.0,-92.625,-96.0,poor,True,False,True,medium,"max_rssi=-89 dBm (弱信号,阈值 -85 dBm)"
-7526.710926756263,4864892.801808476,2,1,15,1,2,23,1371714758,12,-86.0,-93.66666666666667,-98.0,poor,True,False,True,medium,"max_rssi=-86 dBm (弱信号,阈值 -85 dBm)"
-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715831,13,-86.0,-92.76923076923077,-97.0,poor,True,False,True,medium,"max_rssi=-86 dBm (弱信号,阈值 -85 dBm)"
-7469.739100001752,4864864.291500002,2,1,18,2,2,23,1371715868,19,-92.0,-94.21052631578948,-97.0,poor,True,False,True,medium,"max_rssi=-92 dBm (弱信号,阈值 -85 dBm)"
-7526.710926756263,4864892.801808476,2,1,15,1,2,23,1371714758,12,-87.0,-94.08333333333333,-98.0,poor,True,False,True,medium,"max_rssi=-87 dBm (弱信号,阈值 -85 dBm)"
-7520.724500000477,4864892.4384,2,1,15,2,2,23,1371714730,8,-90.0,-94.25,-97.0,poor,True,False,True,medium,"max_rssi=-90 dBm (弱信号,阈值 -85 dBm)"
